Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Oobatz Ravioli Pasta (Meat),Picked for you,None,None,Our raviolis are stuffed with the finest minced meat straight from the grinder.,Wheat,Contains,uber_eats
"Madon', not Marone Ravioli Pasta (Veggie)",Picked for you,None,None,Our delicious spinach raviolis will have you mispronouncing Madon’s like you want to be a gangster. Vegetarian.,Wheat,Contains,uber_eats
Insurance Fraud Pasta (Primavera),Picked for you,None,None,Milk it dry and then light a match with this vegetarian pasta. With seasonal veggies.,"Dairy, Wheat",Contains,uber_eats
Paulie Walnuts Pesto Pasta,Picked for you,None,None,"We know a guy, who knows a guy, who knows another guy, and who hooks us up with the best pesto in town. Don’t tell anybody, though.","Tree Nuts, Wheat",Contains,uber_eats
House Cut Fried with Garlic Aioli,Appetizers,None,None,,"Eggs, Garlic",Contains,uber_eats
The Roman Empire Salad,Salads,None,None,Watch your back with our delicious Caesar salad. A healthy bed of romaine lettuce topped with our creamy Caesar dressing.,Fish,Contains,uber_eats
Goomar Salad,Salads,None,None,"Fridays are for the wives, but on Saturdays, we order verdure salads. Fresh grilled veggies, gorgonzola cheese, and mixed greens.",Dairy,Contains,uber_eats
Fedora Pomodoro Pasta,Pastas,None,None,"Hipsters may have stolen our hat of choice, but we still have our culinary heritage.",Wheat,Contains,uber_eats
"It was you, Fredo (Alfredo) Pasta",Pastas,None,None,Don’t share this with your brother; our delicious fettuccine pasta is cooked in a creamy white sauce and topped with aged parmesan. Sure to make you look smart.,Wheat,Contains,uber_eats
Feelin' the Heat from the Feds (Arrabiata) Pasta,Pastas,None,None,Got the wiretaps givin’ you agita? Cool down with our spicy arrabbiata pasta.,Wheat,Contains,uber_eats
Paulie Walnuts Pesto Pasta,Pastas,None,None,"We know a guy, who knows a guy, who knows another guy, and who hooks us up with the best pesto in town. Don’t tell anybody, though.","Tree Nuts, Wheat",Contains,uber_eats
"Madon', not Marone Ravioli Pasta (Veggie)",Pastas,None,None,Our delicious spinach raviolis will have you mispronouncing Madon’s like you want to be a gangster. Vegetarian.,Wheat,Contains,uber_eats
Get a Shot of Vodka Pasta,Pastas,None,None,Creamy tomato and white sauce blend cooked with fettuccine.,Wheat,Contains,uber_eats
Insurance Fraud Pasta (Primavera),Pastas,None,None,Milk it dry and then light a match with this vegetarian pasta. With seasonal veggies.,"Dairy, Wheat",Contains,uber_eats
Bada-Bing Fazool Pasta (Vegetarian Fusili),Pastas,None,None,Keep laundering your escarole with our delicious vegetarian fusilli.,Wheat,Contains,uber_eats
Oobatz Ravioli Pasta (Meat),Pastas,None,None,Our raviolis are stuffed with the finest minced meat straight from the grinder.,Wheat,Contains,uber_eats
An Offer You Can't Refuse Pasta (Bolognese),Pastas,None,None,"If you like your prized pet’s head intact, we suggest you don’t turn us down on our offer to try our delicious bolognese pasta.",Wheat,Contains,uber_eats
Taziki's Signature Pasta,Daily Specials,None,None,"A bed of mixed lettuces with penne pasta and grilled chicken, tossed in balsamic vinaigrette, topped with tomatoes, feta, and fresh basil.",Wheat,Contains,uber_eats
Grilled Shrimp Kebob Feast,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Greek Salad with Grilled Shrimp Kebob,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Mediterranean Salad with Grilled Shrimp Kebob,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Caesar Salad with Grilled Shrimp Kebob,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Quinoa Grilled Shrimp Kebob,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Side Shrimp Kebob,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Single Shrimp Kebob,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Grilled Shrimp Kebobs for 4,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Grilled Shrimp Kebobs for 6,Limited Time Offer,None,None,,Shellfish,Contains,uber_eats
Spicy Pimento Cheese,Appetizers,None,None,"Grated sharp Cheddar, mayonnaise, diced red peppers, and Tabasco. Served with soft or baked pita chips.","Dairy, Eggs",Contains,uber_eats
Hummus,Appetizers,None,None,"Puree of chick peas, tahini, cumin, and lemon juice. Served with soft or baked pita chips.",Sesame,Contains,uber_eats
Tomato Soup with Greek,Soups and Salads,None,None,"Made with fresh tomatoes, basil, onions, garlic, and thyme. Topped with feta cheese and fresh basil","Dairy, Garlic",Contains,uber_eats
Tomato Soup with Mediterranean,Soups and Salads,None,None,"Made with fresh tomatoes, basil, onions, garlic, and thyme. Topped with feta cheese and fresh basil","Dairy, Garlic",Contains,uber_eats
Grilled Chicken Basil-Pesto Gyro,Fresh Grilled Gyros,None,None,"Basil pesto, tomatoes, and feta. Served with chips and choice of a side.",Tree Nuts,Contains,uber_eats
Grilled Chicken Sandwich,Mediterranean Deli,None,None,"Served with feta cheese, grilled onions on a kaiser bun, chips, and choice of a side.","Dairy, Wheat",Contains,uber_eats
Beef Tender Sandwich,Mediterranean Deli,None,None,"Grilled onions, melted Swiss, and horseradish on a kaiser bun. Served with chips and choice of a side.",Wheat,Contains,uber_eats
Spicy Pimento Cheese Sandwich,Mediterranean Deli,None,None,With mixed lettuce on toasted buttermilk bread. Served with chips and choice of a side.,"Dairy, Wheat",Contains,uber_eats
Grilled Salmon Feast,Taziki's Feasts ,None,None,"Atlantic salmon, seasoned, and chargrilled. Served with Greek salad and your choice of roasted new potatoes or basmati rice.",Fish,Contains,uber_eats
Grilled Shrimp Feast,Taziki's Feasts ,None,None,"Seasoned and grilled with lemon juice, butter, and blackened seasoning. Served with Greek salad and your choice of roasted new potatoes or basmati rice.","Dairy, Shellfish",Contains,uber_eats
Sneaky Taziki,Kids,None,None,"Chicken, choice of cheese in a griddled tortilla. Includes fresh-cut fruit or chips",Dairy,Contains,uber_eats
Grilled Cheese,Kids,None,None,American cheese on toasted bread. Includes fresh-cut fruit or chips,"Dairy, Wheat",Contains,uber_eats
Side of Pasta Salad,Sides,None,None,,Wheat,Contains,uber_eats
Grilled Shrimp Feast for 4,Family Feast for 4,None,None,"Seasoned and grilled with lemon juice, butter, and just a touch of blackened seasoning. Includes a choice of salad with dressing, choice of side, and choice of baked pita chips or soft pita","Dairy, Shellfish",Contains,uber_eats
Grilled Salmon Feast for 4,Family Feast for 4,None,None,"Seasoned chargrilled blackened salmon that includes a choice of salad with dressing, choice of side, and choice of baked pita chips or soft pita",Fish,Contains,uber_eats
Grilled Shrimp Feast for 6,Family Feast for 6,None,None,"Seasoned and grilled with lemon juice, butter, and just a touch of blackened seasoning. Includes a choice of salad with dressing, choice of side, and choice of baked pita chips or soft pita","Dairy, Shellfish",Contains,uber_eats
Grilled Salmon Feast for 6,Family Feast for 6,None,None,"Seasoned chargrilled blackened salmon that includes a choice of salad with dressing, choice of side, and choice of baked pita chips or soft pita",Fish,Contains,uber_eats
C. Honey Chicken,Picked for you,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. General Tso's Chicken,Picked for you,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
Pork Egg Roll (1 pc),Appetizer,None,None,,Eggs,Contains,uber_eats
Shrimp Egg Roll (1 pc),Appetizer,None,None,,"Eggs, Shellfish",Contains,uber_eats
Fried Scallop (10 pcs),Appetizer,None,None,,Shellfish,Contains,uber_eats
Sesame Wing (8 pcs),Appetizer,None,None,,Sesame,Contains,uber_eats
Fried Crab Claw (8 pcs),Appetizer,None,None,,Shellfish,Contains,uber_eats
Crab Rangoon (6 pcs),Appetizer,None,None,,Shellfish,Contains,uber_eats
Fried Shrimp (16 pcs),Appetizer,None,None,,Shellfish,Contains,uber_eats
Egg Drop Soup,Soups,None,None,Comes with crispy noodle.,"Eggs, Wheat",Contains,uber_eats
Wonton Soup,Soups,None,None,Comes with crispy noodle.,Wheat,Contains,uber_eats
Hot & Sour Soup,Soups,None,None,Comes with crispy noodle.,Wheat,Contains,uber_eats
Chicken with Cashew Nuts,Poultry,None,None,Comes with white rice.,Tree Nuts,Contains,uber_eats
Garlic Chicken,Poultry,None,None,Comes with white rice.,Garlic,Contains,uber_eats
Beef with Cashew Nuts,Beef,None,None,Comes with white rice.,Tree Nuts,Contains,uber_eats
Garlic Beef,Beef,None,None,Comes with white rice.,Garlic,Contains,uber_eats
Shrimp with Broccoli,Seafood,None,None,Comes with white rice.,Shellfish,Contains,uber_eats
Shrimp with Cashew Nuts,Seafood,None,None,Comes with white rice.,"Shellfish, Tree Nuts",Contains,uber_eats
Shrimp with Lobster Sauce,Seafood,None,None,Comes with white rice.,Shellfish,Contains,uber_eats
Garlic Shrimp,Seafood,None,None,Comes with white rice.,"Garlic, Shellfish",Contains,uber_eats
Hunan Shrimp,Seafood,None,None,Comes with white rice.,Shellfish,Contains,uber_eats
Kung Pao Shrimp,Seafood,None,None,Comes with white rice.,Shellfish,Contains,uber_eats
Curry Shrimp,Seafood,None,None,Comes with white rice.,Shellfish,Contains,uber_eats
Mongolian Shrimp,Seafood,None,None,Comes with white rice.,Shellfish,Contains,uber_eats
Sweet & Sour Shrimp,Seafood,None,None,Comes with white rice.,Shellfish,Contains,uber_eats
Sesame Chicken,Chef's Special,None,None,Comes with white rice.,Sesame,Contains,uber_eats
C. Sweet & Sour Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Chicken with Broccoli,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Chicken with Mixed Vegetable,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Chicken with Cashew Nuts,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Tree Nuts",Contains,uber_eats
C. Moo Goo Gai Pan,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Chicken Lo Mein,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Garlic Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Garlic",Contains,uber_eats
C. Hunan Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Kung Pao Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Mongolian Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. General Tso's Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Sesame Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Sesame",Contains,uber_eats
C. Beef with Broccoli,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Beef with Mixed Vegetable,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Beef with Cashew Nuts,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Tree Nuts",Contains,uber_eats
C. Pepper Steak,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Beef Lo Mein,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Garlic Beef,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Garlic",Contains,uber_eats
C. Hunan Beef,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Mongolian Beef,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Shrimp with Broccoli,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Shellfish",Contains,uber_eats
C. Shrimp with Mixed Vegetable,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Shellfish",Contains,uber_eats
C. Shrimp with Lobster Sauce,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Shellfish",Contains,uber_eats
C. Shrimp Lo Mein,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Shellfish",Contains,uber_eats
C. Garlic Shrimp,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Garlic, Shellfish",Contains,uber_eats
C. Hunan Shrimp,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Shellfish",Contains,uber_eats
C. Kung Pao Shrimp,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Shellfish",Contains,uber_eats
C. Sweet & Sour Shrimp,Special Combo Plates,None,None,Served with fried rice and egg roll.,"Eggs, Shellfish",Contains,uber_eats
C. Sweet & Sour Pork,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Mixed Vegetables,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Triple Delight,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. House Special Lo Mein,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Honey Chicken,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Pork Lo Mein,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
C. Vegetable Lo Mein,Special Combo Plates,None,None,Served with fried rice and egg roll.,Eggs,Contains,uber_eats
Sesame Sauce,Sauce,None,None,,Sesame,Contains,uber_eats
Hot Mustard,Sauce,None,None,,Mustard,Contains,uber_eats
Crispy Noodle,Side Order,None,None,,Wheat,Contains,uber_eats
Cauli Manchurian,Picked for you,None,None,"Fried cauliflower florets sauteed with onions, ginger, garlic, bell peppers and tossed in a chef-special Manchurian sauce.",Garlic,Contains,uber_eats
Spiced Chickpea Curry,Picked for you,None,None,"Chickpeas slow-cooked in a thick gravy made of chopped onions, tomatoes, and whole warm spices. ",Legumes,Contains,uber_eats
Creamy Veggie Dumpling Curry,Picked for you,None,None,"Fresh handmade dumplings made of cottage cheese, cauliflower, carrots, cashews, raisins, potatoes and herbs cooked in rich curry creamy sauce. ",Dairy,Contains,uber_eats
Creamy Lentil Love,Picked for you,None,None,"Pureed mildly spiced black lentils delicately cooked with tomatoes, onions, butter, fresh herbs and topped with cream. ","Dairy, Legumes",Contains,uber_eats
Cauli Manchurian,Appetizers,None,None,"Fried cauliflower florets sauteed with onions, ginger, garlic, bell peppers and tossed in a chef-special Manchurian sauce.",Garlic,Contains,uber_eats
Cottage Cheese Tikka,Appetizers,None,None,Homemade cottage cheese cubes marinated in yogurt and spices cooked in clay oven with bell peppers and onion.,"Dairy, Onion",Contains,uber_eats
Spiced Chickpea Curry,Vegetarian Entrees,None,None,"Chickpeas slow-cooked in a thick gravy made of chopped onions, tomatoes, and whole warm spices. ",Legumes,Contains,uber_eats
Creamy Lentil Love,Vegetarian Entrees,None,None,"Pureed mildly spiced black lentils delicately cooked with tomatoes, onions, butter, fresh herbs and topped with cream. ","Dairy, Legumes",Contains,uber_eats
Okra Classic,Vegetarian Entrees,None,None,"Diced fresh okra, sautéed with onions, garlic, and spices till crisp. ",Garlic,Contains,uber_eats
Green Cottage Cheese Curry,Vegetarian Entrees,None,None,Indian cottage cheese cooked with fresh spinach and Indian herbs and spices and cream. ,Dairy,Contains,uber_eats
Creamy Veggie Dumpling Curry,Vegetarian Entrees,None,None,"Fresh handmade dumplings made of cottage cheese, cauliflower, carrots, cashews, raisins, potatoes and herbs cooked in rich curry creamy sauce. ",Dairy,Contains,uber_eats
Cottage Cheese Crafted Curry,Vegetarian Entrees,None,None,Indian cottage cheese cooked with Indian herbs and spices and cream. ,Dairy,Contains,uber_eats
